sei,fornecedor,valor,score,status,n_docs,tem_cadeia
SEI-270042/001725/2022,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270042/001727/2022,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270050/000761/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,nao_coletado,0,0
SEI-270057/002000/2020,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,4,1
SEI-270060/001887/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270060/002315/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270060/002420/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270060/002467/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270064/000087/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270064/000167/2022,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,7,1
SEI-270120/001780/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270120/001781/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270120/001782/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270120/001797/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270120/001798/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270120/001799/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270005/011036/2025,ELFA MEDICAMENTOS LTDA,206245.10,60,nao_coletado,0,0
SEI-270006/003984/2025,ELFA MEDICAMENTOS LTDA,206245.10,60,nao_coletado,0,0
SEI-270006/012938/2025,ELFA MEDICAMENTOS LTDA,206245.10,60,nao_coletado,0,0
SEI-270006/013470/2025,ELFA MEDICAMENTOS LTDA,206245.10,60,nao_coletado,0,0
SEI-270006/014152/2025,ELFA MEDICAMENTOS LTDA,206245.10,60,nao_coletado,0,0
SEI-270007/015274/2025,ELFA MEDICAMENTOS LTDA,206245.10,60,nao_coletado,0,0
SEI-270007/022005/2025,ELFA MEDICAMENTOS LTDA,206245.10,60,nao_coletado,0,0
SEI-270007/022052/2025,ELFA MEDICAMENTOS LTDA,206245.10,60,nao_coletado,0,0
SEI-270007/055286/2024,ELFA MEDICAMENTOS LTDA,206245.10,60,nao_coletado,0,0
SEI-270006/010122/2024,VISUAL INDUSTRIA E COMERCIO DE LONAS EIRELI,208000.00,60,integra,7,1
SEI-270006/007141/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,265694.04,60,integra,7,1
SEI-270006/033789/2024,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,265694.04,60,so_despacho,0,0
SEI-270054/000659/2022,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,265694.04,60,integra,8,1
SEI-270006/012701/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,8,1
SEI-270006/012718/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,7,1
SEI-270006/012737/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,8,1
SEI-270006/012738/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,8,1
SEI-270006/013153/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,8,1
SEI-270006/013215/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,8,1
SEI-270006/013232/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,8,1
SEI-270006/013300/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,8,1
SEI-270002/001439/2025,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270006/003735/2025,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270006/010564/2025,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270006/010900/2025,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270006/022864/2024,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270006/033489/2024,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270007/012374/2025,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270007/014395/2025,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270007/049881/2024,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270044/001466/2022,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270044/002371/2022,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270044/003237/2022,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270044/003292/2022,ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,415468.80,60,nao_coletado,0,0
SEI-270006/012717/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,8,1
SEI-270006/012727/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,8,1
SEI-270006/012728/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,8,1
SEI-270006/012731/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,8,1
SEI-270006/012733/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,310863.60,60,integra,8,1
SEI-270060/000206/2023,ONCO PROD DISTR. DE PROD. HOSPITALARES E ONCOLÓGICOS LTDA,284151.60,60,nao_coletado,0,0
SEI-270003/001355/2026,LEAR COMÉRCIO E SERVIÇOS DE AR CONDICIONADO LTDA,569216.84,60,integra,8,1
SEI-270006/004469/2024,LEAR COMÉRCIO E SERVIÇOS DE AR CONDICIONADO LTDA,569216.84,60,nao_coletado,0,0
SEI-270071/000029/2023,ALLIAGE S/A INDÚSTRIAS MÉDICO ODONTOLÓGICA,952517.88,60,integra,8,1
SEI-270042/001421/2022,S.O.S SUL RESGATE - COMERCIO E SERVICOS DE SEGURANCA E SINALIZACAO LTDA,5803500.00,60,integra,8,1
SEI-270042/000930/2023,JBS COMÉRCIO DE UNIFORMES E EQUIPAMENTOS EIRELI,4431618.40,60,integra,8,1
SEI-270128/000034/2022,SERVICO AUTONOMO DE AGUA E ESGOTO-SAAE,10884.47,60,nao_coletado,0,0
SEI-270042/001545/2022,SERVICO AUTONOMO DE AGUA E ESGOTO-SAAE,10884.47,60,integra,8,1
SEI-270006/006684/2024,SERVICO AUTONOMO DE AGUA E ESGOTO-SAAE,10884.47,60,integra,8,1
SEI-270042/001731/2022,SERVICO AUTONOMO DE AGUA E ESGOTO-SAAE,10884.47,60,nao_coletado,0,0
SEI-270006/017985/2024,SERVICO AUTONOMO DE AGUA E ESGOTO-SAAE,10884.47,60,integra,8,1
SEI-270003/000470/2024,CROSSOVER TREINAMENTOS LTDA,6000.05,60,nao_coletado,0,0
SEI-270007/019888/2025,CROSSOVER TREINAMENTOS LTDA,6000.05,60,integra,5,1
SEI-270057/001022/2021,CROSSOVER TREINAMENTOS LTDA,6000.05,60,nao_coletado,0,0
SEI-270003/001682/2024,ZENITE INFORMAÇÃO E CONSULTORIA S.A.,18560.00,60,integra,8,1
SEI-270005/010630/2024,PREFEITURA MUNICIPAL DE BARRA DO PIRAÍ,11068.36,60,nao_coletado,0,0
SEI-270003/002475/2024,ZENITE INFORMAÇÃO E CONSULTORIA S.A.,18560.00,60,integra,7,1
SEI-270020/000072/2022,INSTITUTO NEGOCIOS PUBLICOS DO BRASIL - ESTUDOS E PESQUISAS NA ADMINISTRACAO PUBLICA - INP - LTDA,31800.00,60,nao_coletado,0,0
SEI-270006/028795/2024,SERVICO AUTONOMO DE AGUA E ESGOTO SAAE,60000.10,60,nao_coletado,0,0
SEI-270006/031701/2024,SERVICO AUTONOMO DE AGUA E ESGOTO SAAE,60000.10,60,nao_coletado,0,0
